Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.794499,0.871725,0.740096,0.846573,"881,544","49,099,600"
"Sep 21, 2017",0.932087,0.955197,0.726511,0.790137,"1,156,700","57,598,900"
"Sep 20, 2017",0.930347,0.991174,0.881977,0.917598,"1,319,930","57,487,600"
"Sep 19, 2017",1.06,1.07,0.920341,0.934326,"1,303,060","65,379,900"
"Sep 18, 2017",0.997916,1.09,0.970309,1.06,"1,533,210","61,655,300"
"Sep 17, 2017",0.984751,1.04,0.889839,0.999036,"1,116,960","60,837,800"
"Sep 16, 2017",0.964923,1.15,0.890651,0.97994,"2,856,960","59,608,900"
"Sep 15, 2017",0.673607,1.17,0.516627,0.967416,"5,530,870","41,609,800"
"Sep 14, 2017",0.951898,1,0.652041,0.66836,"2,039,670","58,793,200"
"Sep 13, 2017",1.14,1.15,0.854599,0.944475,"2,844,850","70,347,500"
"Sep 12, 2017",1.11,1.33,1.05,1.14,"2,857,380","68,335,200"
"Sep 11, 2017",1.18,1.25,1.06,1.11,"2,504,660","73,016,700"
"Sep 10, 2017",1.32,1.32,1.11,1.18,"1,815,820","81,653,000"
"Sep 09, 2017",1.28,1.39,1.21,1.34,"1,950,540","79,300,600"
"Sep 08, 2017",1.5,1.53,1.16,1.29,"5,170,370","92,749,700"
"Sep 07, 2017",1.56,1.61,1.38,1.5,"8,538,030","96,404,200"
"Sep 06, 2017",1.36,1.74,1.3,1.58,"10,606,600","84,051,600"
"Sep 05, 2017",1.28,1.5,1.1,1.35,"5,489,100","78,742,200"
"Sep 04, 2017",1.47,1.49,1.11,1.26,"8,562,640","90,999,600"
"Sep 03, 2017",1.44,1.78,1.36,1.47,"15,966,700","88,636,800"
"Sep 02, 2017",1.91,1.94,1.09,1.43,"20,923,200","118,020,000"
"Sep 01, 2017",0.850036,1.91,0.850036,1.9,"52,815,900","52,453,100"
"Aug 31, 2017",0.627726,0.983934,0.584225,0.83258,"14,537,000","38,732,200"
"Aug 30, 2017",0.53401,0.656644,0.497404,0.618706,"2,844,120","32,947,500"
"Aug 29, 2017",0.579026,0.667132,0.518595,0.534316,"5,918,080","35,722,300"
"Aug 28, 2017",0.400949,0.753604,0.3707,0.576792,"15,601,700","24,734,100"
"Aug 27, 2017",0.303214,0.456619,0.30181,0.404213,"1,952,240","18,703,500"
"Aug 26, 2017",0.288152,0.30428,0.282682,0.303293,"308,908","17,772,900"
"Aug 25, 2017",0.264916,0.308629,0.261575,0.28984,"523,527","16,338,700"
"Aug 24, 2017",0.259891,0.280281,0.248165,0.264088,"254,031","16,027,900"
"Aug 23, 2017",0.241106,0.286402,0.230491,0.259772,"430,025","14,868,500"
"Aug 22, 2017",0.243415,0.245716,0.217095,0.241421,"174,195","15,010,000"
"Aug 21, 2017",0.243213,0.24807,0.231601,0.239179,"162,985","14,996,600"
"Aug 20, 2017",0.234213,0.266555,0.225242,0.25049,"253,340","14,440,700"
"Aug 19, 2017",0.237903,0.248881,0.224591,0.235006,"80,083","14,667,400"
"Aug 18, 2017",0.248586,0.265567,0.228772,0.238087,"172,340","15,324,300"
"Aug 17, 2017",0.268603,0.283776,0.240914,0.249335,"167,613","16,557,200"
"Aug 16, 2017",0.255205,0.29632,0.251668,0.272074,"474,470","15,727,700"
"Aug 15, 2017",0.239533,0.272575,0.224639,0.254925,"238,250","14,760,900"
"Aug 14, 2017",0.25446,0.300048,0.219826,0.232037,"432,705","15,679,700"
"Aug 13, 2017",0.278645,0.295648,0.251746,0.254321,"230,756","17,168,800"
"Aug 12, 2017",0.289755,0.303846,0.269949,0.278836,"307,890","17,852,100"
"Aug 11, 2017",0.271228,0.305263,0.271228,0.29455,"321,883","16,709,400"
"Aug 10, 2017",0.276849,0.287894,0.265356,0.269149,"197,285","17,054,400"
"Aug 09, 2017",0.28269,0.283557,0.258932,0.275028,"337,939","17,413,000"
"Aug 08, 2017",0.277236,0.293885,0.267619,0.282881,"189,848","17,076,000"
"Aug 07, 2017",0.251493,0.285414,0.244405,0.276535,"251,901","15,489,600"
"Aug 06, 2017",0.253617,0.261635,0.247665,0.251105,"99,862","15,619,400"
"Aug 05, 2017",0.24147,0.269774,0.23934,0.254892,"189,202","14,870,400"
"Aug 04, 2017",0.257849,0.266379,0.237422,0.237422,"185,139","15,878,100"
"Aug 03, 2017",0.250267,0.26096,0.247999,0.256686,"63,144","15,410,300"
"Aug 02, 2017",0.250674,0.268791,0.245894,0.249821,"70,164","15,434,400"
"Aug 01, 2017",0.227336,0.261721,0.21591,0.250288,"112,860","13,996,500"
"Jul 31, 2017",0.223023,0.245029,0.219165,0.227226,"148,020","13,730,100"
"Jul 30, 2017",0.226436,0.234632,0.2199,0.222795,"41,449","13,938,300"
"Jul 29, 2017",0.22634,0.229451,0.212143,0.226468,"79,773","13,931,500"
"Jul 28, 2017",0.243664,0.252138,0.21065,0.227199,"145,462","14,996,700"
"Jul 27, 2017",0.228311,0.246561,0.226568,0.242927,"109,838","14,050,900"
"Jul 26, 2017",0.23443,0.243626,0.218222,0.227627,"59,252","14,426,700"
"Jul 25, 2017",0.282203,0.284075,0.219038,0.237928,"185,356","17,365,600"
"Jul 24, 2017",0.279925,0.293837,0.274461,0.282233,"96,584","17,223,000"
"Jul 23, 2017",0.30033,0.309039,0.274915,0.28025,"150,464","18,477,200"
"Jul 22, 2017",0.262294,0.301587,0.257472,0.300314,"148,731","16,136,200"
